"date","ID","reef_habitat","site","length_mm","biomass","biomass_dry","family","genus","species","gut","gut_notes","dissection_notes","burnt","incubation_volume","ex_N_ug_L_min","ex_P_ug_L_min","ex_urea_ug_L_min","ex_notes","catch_method","temp","N","C","P","N_15","C_13","sto_notes","ex_N","ex_P","ex_N_urea","sp","TL"
"28/08/2016",NA,"Backreef",NA,NA,77.1,20.05,"Acanthuridae","Zebrasoma","scopas",5,"eggs, green mush, parasites",NA,NA,2000,2.5763751132,0.577464789,0.1801229915,NA,"hook",26,"7.9114974624","32.812580559","#N/A","0.3686374759","1.0905514195",NA,0.006492465285264,0.00166309859232,0.00021171429692669,"Zebrasoma scopas",11.5
"28/08/2016",NA,"Backreef",NA,NA,75.8,19.45,"Acanthuridae","Zebrasoma","scopas",5,"green mush, algae, eggs",NA,NA,2000,1.7029363493,0.128571429,0.0579476861,NA,"hook",26,"8.111","33.047304296","#N/A","0.3689584092","1.090478137",NA,0.004291399600236,0.00037028571552,6.81109808305066e-05,"Zebrasoma scopas",11.8
"29/08/2016",NA,"Fringe",NA,NA,48.5,NA,"Acanthuridae","Zebrasoma","scopas",5,"green mush, urchin",NA,NA,2000,4.5092438179,1.2338778267,4.978974359,NA,"barrier",26,"#N/A","#N/A","#N/A","#N/A","#N/A",NA,0.011363294421108,0.003553568140896,0.00585222378916408,"Zebrasoma scopas",10
"30/08/2016",NA,"Fringe",NA,NA,54.4,11.03,"Acanthuridae","Zebrasoma","scopas",5,"green mush",NA,NA,2500,2.9487390455,0.071899958,0.7735763933,NA,"hook",26,"6.9","#N/A","#N/A","#N/A","#N/A",NA,0.009288527993325,0.0002588398488,0.00113656494419949,"Zebrasoma scopas",10.5
"42611",NA,"Fringe",NA,NA,48.5,NA,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2000,4.5092438179,1.2338778267,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.011363294421108,0.003553568140896,NA,"Zebrasoma scopas",10
"42566",NA,"Backreef",NA,NA,62.5,18.33,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,3000,3.7515390796,0.556358427,NA,NA,NA,26,"9.1419741811","37.1033092657","5.1938914795",NA,NA,NA,0.014180817720888,0.00240346840464,NA,"Zebrasoma scopas",11
"42610",NA,"Backreef",NA,NA,77.1,20.05,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2000,2.5763751132,0.577464789,NA,NA,NA,26,"7.9114974624","32.812580559","#N/A",NA,NA,NA,0.006492465285264,0.00166309859232,NA,"Zebrasoma scopas",11.5
"42610",NA,"Backreef",NA,NA,72.9,16.44,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2000,1.7601164079,0.5014285714,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.004435493347908,0.001444114285632,NA,"Zebrasoma scopas",11.7
"42558",NA,"Forereef",NA,NA,84,21.49,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2000,4.2196378167,1.1768253968,NA,NA,NA,26,"6.9898399509","29.4597664138","#N/A",NA,NA,NA,0.010633487298084,0.003389257142784,NA,"Zebrasoma scopas",12.1
"42610",NA,"Backreef",NA,NA,120.3,33.57,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2500,2.9337950294,0.509868421,NA,NA,NA,26,"7.506","35.645","#N/A",NA,NA,NA,0.00924145434261,0.0018355263156,NA,"Zebrasoma scopas",13.4
"42561",NA,"Backreef",NA,NA,120.2,24.19,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2750,5.1470027823,5.6551152604,NA,NA,NA,26,"7.1206803","31.6287842","6.9085997934",NA,NA,NA,0.0178343646406695,0.022394256431184,NA,"Zebrasoma scopas",14.3
"42561",NA,"Backreef",NA,NA,105.1,28.34,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,3000,2.3349463203,0.3605078785,NA,NA,NA,26,"8.549","40.37","#N/A",NA,NA,NA,0.008826097090734,0.00155739403512,NA,"Zebrasoma scopas",14.5
"42561",NA,"Backreef",NA,NA,104.9,34.11,"Acanthuridae","Zebrasoma","scopas",NA,NA,NA,NA,2700,1.8113285983,0.315695499,NA,NA,NA,26,"8.6847124743","34.2584633152","#N/A",NA,NA,NA,0.0061621398914166,0.001227424100112,NA,"Zebrasoma scopas",15.1
NA,656,"Backreef",NA,NA,2.8,0.69,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,360,1.1549338027,0.056432092,NA,NA,NA,26,"9.346139","31.9583037","4.901103242",NA,NA,NA,0.00052387797290472,2.92543964928e-05,NA,"Balistapus undulatus",3.5
NA,1574,"Fringe",NA,NA,156.6,NA,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,3000,18.1521728233,7.750480769,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.068615213272074,0.03348207692208,NA,"Balistapus undulatus",5.7
NA,1441,"Backreef",NA,NA,66.5,17.22,"Balistidae","Balistapus","undulatus",2,NA,NA,NA,2000,4.5069928922,0.485294118,NA,NA,NA,26,"8.0910928832","26.2946656762","#N/A",NA,NA,NA,0.011357622088344,0.00139764705984,NA,"Balistapus undulatus",11.8
NA,1505,"Fringe",NA,NA,79.7,24.44,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,2900,17.9672700161,0.2480537298,NA,NA,NA,26,"9.516922817","29.9670854938","#N/A",NA,NA,NA,0.0656524046388294,0.0010358723756448,NA,"Balistapus undulatus",12.1
NA,1496,"Fringe",NA,NA,94.7,29.08,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,2500,17.9966826088,0.364778186,NA,NA,NA,26,"8.43","29.496","#N/A",NA,NA,NA,0.05668955021772,0.0013132014696,NA,"Balistapus undulatus",12.9
NA,1488,"Fringe",NA,NA,105,35.31,"Balistidae","Balistapus","undulatus",2,NA,NA,NA,3000,23.0691692243,1.7197205144,NA,NA,NA,26,"10.068","40.579","#N/A",NA,NA,NA,0.087201459667854,0.007429192622208,NA,"Balistapus undulatus",13.3
NA,1573,"Fringe",NA,NA,114.4,NA,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,11.2908551254,0.954962779,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.042679432374012,0.00412543920528,NA,"Balistapus undulatus",13.7
NA,102,"Backreef",NA,NA,99.7,25.04,"Balistidae","Balistapus","undulatus",2,NA,NA,NA,2260,2.6482579803,1.7848079877,NA,NA,NA,26,"8.2984844","27.4247789","6.5008573388",NA,NA,NA,0.00754117942470228,0.00580847911517088,NA,"Balistapus undulatus",13.9
NA,1212,"Backreef",NA,NA,161,50.15,"Balistidae","Balistapus","undulatus",4.5,NA,NA,NA,3000,12.097951971,3.0581696473,NA,NA,NA,25,"8.8515228","37.6165968","3.141208737",NA,NA,NA,0.04573025845038,0.013211292876336,NA,"Balistapus undulatus",14.1
NA,1499,"Fringe",NA,NA,127.6,40.81,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,24.3148275486,1.4947205144,NA,NA,NA,26,"9.7621828","32.6925379","4.873662063",NA,NA,NA,0.091910048133708,0.006457192622208,NA,"Balistapus undulatus",14.5
NA,1500,"Fringe",NA,NA,142,50.41,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,12.965149217,0.6314004899,NA,NA,NA,26,"8.705270235","33.6026181134","#N/A",NA,NA,NA,0.04900826404026,0.002727650116368,NA,"Balistapus undulatus",14.5
NA,1501,"Fringe",NA,NA,142.6,44.63,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,3000,12.6141675181,2.1194254822,NA,NA,NA,26,"10.298568786","38.6974846962","#N/A",NA,NA,NA,0.047681553218418,0.009155918083104,NA,"Balistapus undulatus",14.8
NA,1405,"Backreef",NA,NA,170.3,NA,"Balistidae","Balistapus","undulatus",2,NA,NA,NA,3450,8.893662915,0.476,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.038660752691505,0.002364768,NA,"Balistapus undulatus",14.9
NA,1503,"Fringe",NA,NA,145.6,48.72,"Balistidae","Balistapus","undulatus",2,NA,NA,NA,3000,25.1715141726,5.233423194,NA,NA,NA,26,"8.3076196713","31.3889883045","#N/A",NA,NA,NA,0.095148323572428,0.02260838819808,NA,"Balistapus undulatus",14.9
NA,1136,"Backreef ",NA,NA,175.2,52.11,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,3500,26.7602239509,2.125837209,NA,NA,NA,26,"8.7832294114","32.4306577448","#N/A",NA,NA,NA,0.118012587623469,0.01071421953336,NA,"Balistapus undulatus",15
NA,1572,"Fringe",NA,NA,134.9,NA,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,2950,17.317925554,0.694210091,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.064370729284218,0.002949004466568,NA,"Balistapus undulatus",15
NA,1135,"Backreef ",NA,NA,155.5,46.46,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,3500,18.0889851511,2.152968992,NA,NA,NA,26,"8.2807305918","33.3926385","6.632867884",NA,NA,NA,0.079772424516351,0.01085096371968,NA,"Balistapus undulatus",15.2
NA,1569,"Fringe",NA,NA,151.7,NA,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,2950,23.120948352,3.664612835,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.085940565024384,0.01556727532308,NA,"Balistapus undulatus",15.2
NA,1579,"Fringe",NA,NA,141.4,NA,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,14.2928871445,8.076248782,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.05402711340621,0.03488939473824,NA,"Balistapus undulatus",15.2
NA,1274,"Backreef",NA,NA,170.7,51.26,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3470,17.0709329331,3.3151479408,NA,NA,NA,26,"9.0738478","34.9108061","5.2377738344",NA,NA,NA,0.0746375329700998,0.0165651312305894,NA,"Balistapus undulatus",15.3
NA,1570,"Fringe",NA,NA,158.3,NA,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,12.5885839299,7.202582518,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.047584847255022,0.03111515647776,NA,"Balistapus undulatus",15.4
NA,1187,"Backreef",NA,NA,181.9,52.99,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,11.8764274834,2.982085665,NA,NA,NA,26,"9.8542094","34.2458588","4.1671785451",NA,NA,NA,0.044892895887252,0.0128826100728,NA,"Balistapus undulatus",15.5
NA,1189,"Backreef",NA,NA,166.4,48.2,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,9.0554631887,0.958725624,NA,NA,NA,26,"8.384542194","31.061938482","#N/A",NA,NA,NA,0.034229650853286,0.00414169469568,NA,"Balistapus undulatus",15.5
NA,1288,"Backreef",NA,NA,174.4,55.07,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,4000,19.5864102891,2.9345648132,NA,NA,NA,26,"8.2043301","32.9643193","6.2949985649",NA,NA,NA,0.098715507857064,0.016903093324032,NA,"Balistapus undulatus",15.5
NA,1363,"Backreef",NA,NA,159,48.6,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,3640,13.79021351,0.998883721,NA,NA,NA,26,"8.6101958","32.8975068","5.6091676719",NA,NA,NA,0.063247435242264,0.0052357489119936,NA,"Balistapus undulatus",15.5
NA,1504,"Fringe",NA,NA,168.4,NA,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3580,24.8946422961,1.8931191267,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.112294752469248,0.00975940772196384,NA,"Balistapus undulatus",15.6
NA,1188,"Backreef",NA,NA,173.9,46.83,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3000,18.2091307437,3.543059553,NA,NA,NA,26,"7.459","28.467","#N/A",NA,NA,NA,0.068830514211186,0.01530601726896,NA,"Balistapus undulatus",15.7
NA,1578,"Fringe",NA,NA,165.1,NA,"Balistidae","Balistapus","undulatus",3,NA,NA,NA,3480,8.2948111107,2.649230769,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.0363710877581974,0.0132758252296128,NA,"Balistapus undulatus",16.1
NA,1510,"Fringe",NA,NA,221.5,78.47,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,3950,23.7316874494,6.2326665119,NA,NA,NA,26,"7.7971638542","28.8034746452","#N/A",NA,NA,NA,0.118112608435664,0.0354514071196872,NA,"Balistapus undulatus",17.1
NA,1220,"Backreef",NA,NA,305.4,104.18,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,4000,16.0575122615,1.4994552846,NA,NA,NA,25,"10.0689059424","40.6638027451","#N/A",NA,NA,NA,0.08092986179796,0.008636862439296,NA,"Balistapus undulatus",17.9
NA,1191,"Backreef",NA,NA,318.1,100.67,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,4360,16.4666617473,2.754904762,NA,NA,NA,26,"10.3452405","40.6202578","7.597626872",NA,NA,NA,0.0904612529749673,0.0172963940577408,NA,"Balistapus undulatus",18.7
NA,1568,"Fringe",NA,NA,337,NA,"Balistidae","Balistapus","undulatus",5,NA,NA,NA,5000,39.3536459702,4.803752852,NA,NA,NA,26,"#N/A","#N/A","#N/A",NA,NA,NA,0.24792796961226,0.0345870205344,NA,"Balistapus undulatus",20.1
NA,1365,"Backreef",NA,NA,365.9,104.07,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,5000,20.80684341,5.300109651,NA,NA,NA,26,"8.1027795065","28.4047946","3.7962040879",NA,NA,NA,0.131083113483,0.0381607894872,NA,"Balistapus undulatus",20.5
NA,1498,"Fringe",NA,NA,417.9,132.65,"Balistidae","Balistapus","undulatus",4,NA,NA,NA,6000,40.4660549107,4.2744410287,NA,NA,NA,26,"8.1681651","27.9994933","5.224301944",NA,NA,NA,0.305923375124892,0.036931170487968,NA,"Balistapus undulatus",21.1
